Iso8601Time,3579.feed_161522.tvoc_ch0
2023-10-25T05:15:15.080000-04:00,81
2023-10-25T05:15:16.081000-04:00,66
2023-10-25T05:15:17.082000-04:00,78
2023-10-25T05:15:18.080000-04:00,65
2023-10-25T05:15:19.081000-04:00,65
2023-10-25T05:15:20.080000-04:00,64
2023-10-25T05:15:21.081000-04:00,56
2023-10-25T05:15:22.080000-04:00,67
2023-10-25T05:15:23.080000-04:00,79
2023-10-25T05:15:24.080000-04:00,77
2023-10-25T05:15:25.080000-04:00,68
2023-10-25T05:15:26.080000-04:00,76
2023-10-25T05:15:27.083000-04:00,75
2023-10-25T05:15:28.081000-04:00,70
2023-10-25T05:15:29.081000-04:00,69
2023-10-25T05:15:30.080000-04:00,61
2023-10-25T05:15:31.081000-04:00,76
2023-10-25T05:15:32.080000-04:00,71
2023-10-25T05:15:33.080000-04:00,61
2023-10-25T05:15:34.080000-04:00,67
